No,Candidate zID,Candidate Name,Test,Email ID,Faculty Name,School Name,Degree (PhD/MRes),Other roles within CSE,Password
62,z26743,eboiy,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,XdYSH
63,z11330,cjclw,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,NwQU7
64,z82918,cmpxy,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,9wdp3
65,z73733,lnczb,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,7633f
66,z34966,qelcs,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,MFIe
67,z98966,xhooq,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,U7QJE
68,z58853,qttag,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,P9CrD
69,z10987,nanhc,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,DJWhf
70,z34509,exocn,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,lrzTl
71,z23696,qonaf,ad.student.unsw.edu.au,z23696@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ntOHl
72,z39852,njec,ad.student.unsw.edu.au,z39852@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,pWzjA
73,z27693,junra,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,az60P
74,z26743,eboiy,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,VDV0T
75,z11330,eboiy,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,n62ZF
76,z82918,cjclw,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,8xN2O
77,z73733,cmpxy,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,tQVCB
78,z34966,lnczb,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ZUgpY
79,z98966,qelcs,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,Qp3LT
80,z58853,xhooq,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,hePiv
81,z27693,qttag,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,iMe7Q
82,z26743,nanhc,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,9KAXU
83,z11330,exocn,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,AwX9x
84,z82918,qonaf,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,cbdAL
85,z73733,jishz,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,nlTw9
86,z34966,cpids,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,dAoV5
87,z98966,eboiy,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,vXKHb
88,z58853,cjclw,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,oLuBt
89,z10987,cmpxy,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,kGFbG
90,z34509,lnczb,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,nhqjT
91,z45696,qelcs,ad.student.unsw.edu.au,z45696@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,ycAgs
92,z54544,xhooq,ad.student.unsw.edu.au,z54544@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,wUPP4
93,z27693,qttag,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,aJVZO
94,z26743,nanhc,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,Tx06f
95,z11330,exocn,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,Ji31w
96,z82918,qonaf,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,lU6Lh
97,z73733,arual,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,H5ECt
98,z34966,trowm,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,mM1hx
99,z98966,eboiy,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,SxzlB
100,z58853,cjclw,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,4aiHy
101,z27693,cmpxy,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,sdWOc
102,z26743,lnczb,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,vqcCi
103,z11330,qelcs,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,5n82i
104,z82918,xhooq,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,0A2y1
105,z73733,qttag,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,XdYSH
106,z34966,nanhc,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,NwQU7
107,z98966,exocn,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,9wdp3
108,z58853,qonaf,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,...
109,z10987,...,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,MFIe
110,z34509,crioa,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,U7QJE
111,z36960,eboiy,ad.student.unsw.edu.au,z36960@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,P9CrD
112,z36574,eboiy,ad.student.unsw.edu.au,z36574@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,DJWhf
113,z27693,cjclw,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,lrzTl
114,z26743,cmpxy,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,ntOHl
115,z11330,lnczb,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,pWzjA
116,z82918,qelcs,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,az60P
117,z73733,xhooq,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,VDV0T
118,z34966,qttag,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,n62ZF
119,z98966,nanhc,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,8xN2O
120,z58853,exocn,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,tQVCB
121,z27693,qonaf,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,ZUgpY
122,z26743,vzsdv,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,Qp3LT
123,z11330,dxsaa,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),Casual Academic,hePiv
124,z82918,eboiy,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,iMe7Q
125,z73733,cjclw,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,9KAXU
126,z34966,cmpxy,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,AwX9x
127,z98966,lnczb,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),Casual Academic,cbdAL
128,z58853,qelcs,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,nlTw9
129,z10987,xhooq,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,dAoV5
130,z34509,qttag,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,mPQEK
131,z25874,nanhc,ad.student.unsw.edu.au,z25874@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,LxEXb
132,z98799,exocn,ad.student.unsw.edu.au,z98799@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,CrpAX
133,z27693,qonaf,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,VYZD5
134,z26743,hdsbf ,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,oOEDu
135,z11330,asfda,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,iZnwI
136,z82918,eboiy,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,AVigh
137,z73733,cjclw,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,yRhiu
138,z34966,cmpxy,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,VuJpa
139,z98966,lnczb,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,7nlwn
140,z58853,qelcs,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,vi3l7
141,z27693,xhooq,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,12344
142,z26743,qttag,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,CTKQ
143,z11330,nanhc,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,iE2v1
144,z82918,exocn,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,g54lY
145,z73733,qonaf,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,373rA
146,z34966,rstsz,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,Zvttw
147,z98966,fdgss,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,ojg8l
148,z58853,eboiy,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,W2uwt
149,z10987,eboiy,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,ehE2R
150,z34509,cjclw,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),Casual Academic,SsPlI
151,z21212,cmpxy,ad.student.unsw.edu.au,z21212@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,Zuazw
152,z12132,lnczb,ad.student.unsw.edu.au,z12132@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,bwBXK
153,z27693,qelcs,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,71lOj
154,z26743,xhooq,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,3mNXj
155,z11330,qttag,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,GoCOW
156,z82918,nanhc,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,094Fh
157,z73733,exocn,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,CSBYO
158,z34966,qonaf,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,WcTkc
159,z98966,warfs,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,5XYII
160,z58853,xzfcx,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,JaPR2
161,z27693,eboiy,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,N061t
162,z26743,cjclw,ad.student.unsw.edu.au,z26743@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,zMg5W
163,z11330,cmpxy,ad.student.unsw.edu.au,z11330@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,vXKHb
164,z82918,lnczb,ad.student.unsw.edu.au,z82918@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,oLuBt
165,z73733,qelcs,ad.student.unsw.edu.au,z73733@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,kGFbG
166,z34966,xhooq,ad.student.unsw.edu.au,z34966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,nhqjT
167,z98966,qttag,ad.student.unsw.edu.au,z98966@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,Casual Academic,ycAgs
168,z58853,nanhc,ad.student.unsw.edu.au,z58853@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,wUPP4
169,z10987,exocn,ad.student.unsw.edu.au,z10987@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,aJVZO
170,z34509,qonaf,ad.student.unsw.edu.au,z34509@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,Tx06f
171,z34510,xxcda,ad.student.unsw.edu.au,z34510@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Masters Degree (Research),,Ji31w
172,z34506,zsdcs,ad.student.unsw.edu.au,z34506@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,lU6Lh
173,z27693,eboiy,ad.student.unsw.edu.au,z27693@ad.student.unsw.edu.au,Faculty of Engineering,School of Computer Sci & Eng,Doctorate,,H5ECt
